"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2012",607.168747770621,545.432163526303,668.90533201494,512.750789960264,701.586705580978
"Feb 2012",633.875221899108,568.351498857025,699.398944941191,533.665335111692,734.085108686524
"Mar 2012",633.875221899108,568.351498857025,699.398944941191,533.665335111692,734.085108686524
"Apr 2012",633.875221899108,568.351498857025,699.398944941191,533.665335111692,734.085108686524
"May 2012",633.875221899108,568.351498857025,699.398944941191,533.665335111692,734.085108686524
"Jun 2012",633.875221899108,568.351498857025,699.398944941191,533.665335111692,734.085108686524
"Jul 2012",633.875221899108,568.351498857025,699.398944941191,533.665335111692,734.085108686524
"Aug 2012",633.875221899108,568.351498857025,699.398944941191,533.665335111692,734.085108686524
"Sep 2012",633.875221899108,568.351498857025,699.398944941191,533.665335111692,734.085108686524
"Oct 2012",633.875221899108,568.351498857025,699.398944941191,533.665335111692,734.085108686524
"Nov 2012",633.875221899108,568.351498857025,699.398944941191,533.665335111692,734.085108686524
"Dec 2012",633.875221899108,568.351498857025,699.398944941191,533.665335111692,734.085108686524
