"","x"
"1",139.571117336773
"2",142.740179575698
"3",136.485812861465
"4",139.969460141142
"5",143.553280410878
"6",134.31469568421
"7",138.774677325046
"8",129.590245343499
"9",139.64729570939
"10",142.530156650332
"11",137.942948151798
"12",136.241886444058
"13",135.070112872313
"14",135.36887076454
"15",132.157121880186
"16",140.191538661338
"17",140.096415720253
"18",139.941726071386
"19",139.242611802542
"20",138.467683803827
