"","MnthYr","total_CLV"
"1","2017-01",149.014409340659
"2","2017-02",140.102023959647
"3","2017-03",139.749195959596
"4","2017-04",149.239757521329
"5","2017-05",137.542768378063
"6","2017-06",135.659529067879
"7","2017-07",125.007174258475
"8","2017-08",132.361669099757
"9","2017-09",147.158854397635
"10","2017-10",142.499736243747
"11","2017-11",135.115836258952
"12","2017-12",131.488290725882
"13","2018-01",130.807702009092
"14","2018-02",125.826112067616
"15","2018-03",135.823518599562
"16","2018-04",143.701546407186
"17","2018-05",143.352102663873
"18","2018-06",142.048019475161
"19","2018-07",140.07486852985
"20","2018-08",131.960806299213
