"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Sep 2018",134.003683125782,126.37893469696,141.628431554604,122.342636693118,145.664729558447
"Oct 2018",137.961466797468,129.037046560044,146.885887034892,124.312743859957,151.610189734979
"Nov 2018",137.961466797468,129.037046560044,146.885887034892,124.312743859957,151.610189734979
"Dec 2018",137.961466797468,129.037046560044,146.885887034892,124.312743859957,151.610189734979
"Jan 2019",137.961466797468,129.037046560044,146.885887034892,124.312743859957,151.610189734979
"Feb 2019",137.961466797468,129.037046560044,146.885887034892,124.312743859957,151.610189734979
"Mar 2019",137.961466797468,129.037046560044,146.885887034892,124.312743859957,151.610189734979
"Apr 2019",137.961466797468,129.037046560044,146.885887034892,124.312743859957,151.610189734979
"May 2019",137.961466797468,129.037046560044,146.885887034892,124.312743859957,151.610189734979
"Jun 2019",137.961466797468,129.037046560044,146.885887034892,124.312743859957,151.610189734979
"Jul 2019",137.961466797468,129.037046560044,146.885887034892,124.312743859957,151.610189734979
"Aug 2019",137.961466797468,129.037046560044,146.885887034892,124.312743859957,151.610189734979
