"","x"
"1",634.482480273628
"2",637.35955730521
"3",642.200115677738
"4",616.280917749994
"5",626.687870209634
"6",605.128927390419
"7",643.668269257538
"8",622.930296881072
"9",633.80127583527
"10",643.876696306383
"11",668.338927901988
"12",648.289223117281
"13",644.778312440305
