"","Point.Forecast","Lo.80","Hi.80","Lo.95","Hi.95"
"Jan 2019",512.922806816339,382.66477457318,643.180839059498,313.710337527086,712.135276105592
"Feb 2019",505.242380459974,364.20123325653,646.283527663419,289.538559959009,720.94620096094
"Mar 2019",500.900473913547,356.582964199309,645.217983627786,280.18588935587,721.615058471224
"Apr 2019",498.445902828143,353.096879501542,643.794926154744,276.153754336132,720.738051320154
"May 2019",497.058282171439,351.381139729459,642.735424613419,274.264318796537,719.85224554634
"Jun 2019",496.273831031131,350.491981425452,642.05568063681,273.319731868258,719.227930194003
"Jul 2019",495.83036430371,350.015067413152,641.645661194267,272.825111932878,718.835616674541
"Aug 2019",495.579663236142,349.75367861677,641.405647855515,272.55806539462,718.601261077665
"Sep 2019",495.437936650148,349.608536527477,641.26733677282,272.411115247096,718.464758053201
"Oct 2019",495.357815630432,349.52732397121,641.188307289654,272.329324866283,718.38630639458
"Nov 2019",495.312521532959,349.481681033621,641.143362032298,272.283497263892,718.341545802027
"Dec 2019",495.286915827077,349.455963842846,641.117867811309,272.257721056579,718.316110597576
